ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res,PC_NAME2,myneta PC_NAME_myneta PC_Name,myneta Sno,myneta Candidate,myneta Party,myneta Criminal Case,myneta Education,myneta Education Points,myneta Total Assets,myneta Liabilities
KL,Mavelikkara,S11,16,SC,Mavelikkara,,342,Kodikunnil Suresh,INC,1,Graduate Professional,17,13251330,3439654
KL,Palakkad,S11,8,GEN,Palakkad,,395,M B Rajesh,CPI(M),11,Graduate Professional,17,4676316,700680
KL,Kollam,S11,18,GEN,Kollam,,297,N.K.Premachandran,RSP,1,Graduate Professional,17,16228989,3114638
MP,Sagar,S12,5,GEN,Sagar,,446,Laxmi Narayan Yadav,BJP,1,Graduate Professional,17,23962099,956348
MP,Damoh,S12,7,GEN,Damoh,,143,Prahalad Singh Patel,BJP,0,Graduate Professional,17,39586235,12429302
MP,Shahdol,S12,12,ST,Shahdol,,461,Dalpat Singh Paraste,BJP,0,Graduate Professional,17,5524870,0
MP,Bhopal,S12,19,GEN,Bhopal,,101,Alok Sanjar,BJP,0,Graduate Professional,17,14594066,300000
MP,Vidisha,S12,18,GEN,Vidisha,,531,Sushma Swaraj,BJP,0,Graduate Professional,17,175516422,6500000
MP,Rewa,S12,10,GEN,Rewa,,442,Janardan Mishra,BJP,0,Graduate Professional,17,10156568,106977
ML,Shillong,S15,1,ST,Shillong,,464,Vincent H. Pala,INC,0,Graduate Professional,17,497108058,0
MH,Akola,S13,6,GEN,Akola,,8,Dhotre Sanjay Shyamrao,BJP,3,Graduate Professional,17,48501735,6928458
MH,Solapur,S13,42,SC,Solapur,,480,Sharad Bansode,BJP,1,Graduate Professional,17,60152887,7604375
MH,Nandurbar,S13,1,ST,Nandurbar,,377,Dr.Gavit Heena Vaijaykumar,BJP,0,Graduate Professional,17,131103963,7571753
MH,Beed,S13,39,GEN,Beed,,83,Munde Gopinathrao Pandurang,BJP,3,Graduate Professional,17,380072890,335729817
MH,Hingoli,S13,15,GEN,Hingoli,,214,Rajeev Shankarrao Satav,INC,0,Graduate Professional,17,49681499,584357
MH,Palghar,S13,22,ST,Palghar,,397,Wanaga Chintaman Navasha,BJP,0,Graduate Professional,17,5809644,401000
MH,Kalyan,S13,24,GEN,Kalyan,,260,Dr.Shrikant Eknath Shinde,SHS,0,Graduate Professional,17,998000,0
MH,Nagpur,S13,10,GEN,Nagpur,,371,Gadkari Nitin Jairam,BJP,4,Graduate Professional,17,153704475,19004037
OD,Sambalpur,S18,3,GEN,Sambalpur,,451,Nagendra Kumar Pradhan,BJD,0,Graduate Professional,17,12796623,1461565
OD,Kendrapara,S18,15,GEN,Kendrapara,,279,Sri Baijayant Panda,BJD,0,Graduate Professional,17,312432726,300000
OD,Jagatsinghpur,S18,16,SC,Jagatsinghpur,,226,Kulamani Samal,BJD,0,Graduate Professional,17,25158570,0
OD,Puri,S18,17,GEN,Puri,,417,Pinaki Mishra,BJD,0,Graduate Professional,17,1370991203,19975839
PB,Jalandhar,S19,4,SC,Jalandhar,,231,Santokh Singh Chaudhary,INC,0,Graduate Professional,17,104040531,6194323
PB,Patiala,S19,13,GEN,Patiala,,405,Dr.Dharam Vira Gandhi,AAP,0,Graduate Professional,17,45115421,0
RJ,Barmer,S20,17,GEN,Barmer,,76,Col. Sona Ram,BJP,1,Graduate Professional,17,174678454,5584331
RJ,Pali,S20,15,GEN,Pali,,398,P P Choudhary,BJP,0,Graduate Professional,17,353503467,7892216
TN,Tirunelveli,S22,38,GEN,Tirunelveli,,506,Prabakaran.K.R.P,AIADMK,0,Graduate Professional,17,2764500,0
TN,Kanniyakumari,S22,39,GEN,Kanniyakumari,,266,Radhakrishnan P.,BJP,0,Graduate Professional,17,40963269,0
TN,Coimbatore,S22,20,GEN,Coimbatore,,135,"Nagarajan, P.",AIADMK,0,Graduate Professional,17,34306545,2235538
TN,Chennai South,S22,3,GEN,Chennai South,,124,Dr. J. Jayavardhan,AIADMK,0,Graduate Professional,17,33959072,10981100
TN,Arani,S22,12,GEN,Arani,,34,V.Elumalai,AIADMK,0,Graduate Professional,17,70492462,25000
TN,Chennai Central,S22,4,GEN,Chennai Central,,122,S.R. Vijayakumar,AIADMK,0,Graduate Professional,17,13401510,350483
TN,Nagappattinam,S22,29,SC,Nagapattinam,Nagapattinam,367,Gopal. Dr. K,AIADMK,0,Graduate Professional,17,19074709,13629120
TN,Tiruvallur,S22,1,SC,Tiruvallur,,509,Venugopal. P. Dr.,AIADMK,0,Graduate Professional,17,28643502,1768538
TN,Cuddalore,S22,26,GEN,Cuddalore,,137,A.Arunmozhithevan,AIADMK,9,Graduate Professional,17,15765250,0
TN,Shivaganga,S22,31,GEN,Sivaganga,Sivaganga,478,Pr Senthilnathan,AIADMK,0,Graduate Professional,17,49050835,7459581
TN,Tiruchirappalli,S22,24,GEN,Tiruchirappalli,,505,P.Kumar S/O Palanivel,AIADMK,0,Graduate Professional,17,18522597,1917891
TN,Dharmapuri,S22,10,GEN,Dharmapuri,,152,Anbumani Ramadoss,PMK,8,Graduate Professional,17,314378451,41941065
TN,Salem,S22,15,GEN,Salem,,448,Pannerselvam.V,AIADMK,0,Graduate Professional,17,32268097,253282
UK,Garhwal,S28,2,GEN,Garhwal,,184,(Maj Gen (Retd.) ) Bhuwan Chandra Khanduri (Avsm),BJP,0,Graduate Professional,17,44357368,0
UP,Kairana,S24,2,GEN,Kairana,,254,Hukum Singh,BJP,2,Graduate Professional,17,29078847,2941671
UP,Kheri,S24,28,GEN,Kheri,,288,Ajay Kumar,BJP,2,Graduate Professional,17,26505977,10000000
UP,Bareilly,S24,25,GEN,Bareilly,,74,Santosh Gangwar,BJP,0,Graduate Professional,17,38602862,1777215
UP,Etah,S24,22,GEN,Etah,,170,Rajvir Singh,BJP,0,Graduate Professional,17,251921157,46898091
UP,Hathras,S24,16,SC,Hathras,,209,Rajesh Kumar,BJP,0,Graduate Professional,17,5651457,0
UP,Kaisarganj,S24,57,GEN,Kaiserganj,Kaiserganj,255,Brij Bhusan Sharan Singh,BJP,2,Graduate Professional,17,61696767,11556027
UP,Allahabad,S24,52,GEN,Allahabad,,13,Shyama Charan Gupta,BJP,0,Graduate Professional,17,472851707,0
UP,Ghazipur,S24,75,GEN,Ghazipur,,190,Manoj Sinha,BJP,0,Graduate Professional,17,23376901,118700
UP,Gautam Buddha Nagar,S24,13,GEN,Gautam Budhha Nagar,Gautam Budhha Nagar,186,Mahesh Sharma,BJP,0,Graduate Professional,17,473797545,40905738
WB,Darjiling,S25,4,GEN,Darjeeling,Darjeeling,145,Surendrajeet Singh Ahluwalia,BJP,0,Graduate Professional,17,23377223,443035
WB,Barasat,S25,17,GEN,Barasat,,70,Dr. Kakali Ghoshdostidar,AITC,0,Graduate Professional,17,31254311,1168220
WB,Murshidabad,S25,11,GEN,Murshidabad,,361,Badaruddoza Khan,CPI(M),0,Graduate Professional,17,2758610,0
WB,Puruliya,S25,35,GEN,Purulia,Purulia,419,Mriganka Mahato,AITC,0,Graduate Professional,17,8895210,0
WB,Barddhaman Purba,S25,38,SC,Bardhaman Purba,Bardhaman Purba,71,Sunil Kumar Mondal,AITC,0,Graduate Professional,17,11841000,1420000
WB,Jangipur,S25,9,GEN,Jangipur,,240,Abhijit Mukherjee,INC,0,Graduate Professional,17,63014502,15160000
WB,Maldah Uttar,S25,7,GEN,Maldaha Uttar,Maldaha Uttar,332,Mausam Noor,INC,0,Graduate Professional,17,9778222,28534
